#{"t_start": 1768383601.3568466, "env_id": "None"}
r,l,t
9887.762,791,2295.492504
9866.67,682,2297.771988
30734.488,1989,2301.230743
10000.141,1032,2302.185091
30462.688,1293,2305.076853
20100.025,1021,2306.084893
30759.191,2472,2311.518748
30494.81,1511,2312.884549
30602.55,1790,2316.192314
30504.01,1934,2319.564737
30844.33,1971,2323.025862
31314.371,3000,2329.180113
10077.714,1295,2330.390965
31041.664,2722,2336.373174
30657.244,1762,2338.018336
20226.434,1675,2341.109972
30696.623,2206,2344.870335
30558.852,1924,2348.344699
30671.81,1718,2351.637537
30558.414,1877,2355.110848
9923.285,1344,2357.993491
30791.666,2212,2361.717714
30716.064,1637,2364.871746
30511.658,1702,2366.457789
30708.602,1900,2369.80544
9914.521,972,2372.33735
20330.832,1105,2373.359728
20149.525,971,2376.064867
30551.137,1645,2379.402357
20431.762,1713,2381.023129
20155.707,1090,2383.636313
20131.879,1211,2386.490932
20329.77,1502,2387.918442
20090.467,1068,2390.48452
30964.438,1984,2393.983888
9988.991,917,2394.822611
20209.81,1000,2397.338067
20300.562,1581,2400.415874
9889.132,931,2401.260892
9999.98,1018,2402.238336
20131.965,1217,2405.068075
30636.041,2151,2408.853118
20272.76,1293,2411.818067
20205.99,1121,2412.863842
20200.174,1036,2415.533915
20506.164,2158,2419.190786
30616.73,1703,2422.433637
30794.809,2019,2426.034716
30508.57,1380,2427.356575
41178.1,2830,2433.152447
30546.55,1689,2436.436712
30583.832,1921,2438.207124
10022.952,1320,2441.047064
30823.627,1902,2444.422812
30675.47,2090,2447.891087
9989.807,1000,2450.33618
20243.154,1343,2451.547587
20132.416,1265,2454.278898
20203.637,1394,2457.181183
20217.621,1801,2458.824479
10044.768,1504,2461.844196
30501.025,1633,2465.012875
30479.217,1452,2467.884245
20425.488,1576,2469.293191
30587.875,1312,2472.040873
20222.105,1236,2474.860698
30466.246,1655,2476.365483
30724.725,2518,2481.891939
30571.861,2224,2485.519194
20291.645,2191,2489.174493
9893.892,906,2490.000568
20312.422,1776,2493.236624
30519.059,1945,2496.740071
20227.5,1273,2499.530191
9944.076,1919,2502.857224
10003.637,1390,2504.208834
30546.781,1201,2506.983826
20318.346,1358,2509.749152
20247.566,1283,2510.925784
20098.646,879,2513.352461
9904.985,1016,2514.333435
20189.422,1465,2517.264753
30615.605,2099,2520.764756
41056.414,1646,2523.96213
9991.191,1141,2525.033715
30529.854,1512,2528.074002
20262.12,1233,2530.826106
9972.033,1228,2531.953619
20160.05,1531,2535.00405
30534.777,2021,2538.569172
30739.107,1944,2541.875756
20381.43,1675,2545.075897
30724.135,1951,2548.596515
30561.05,2154,2552.184052
20123.17,1342,2553.394661
41400.297,2508,2559.129744
20328.5,2392,2562.993882
9889.344,950,2563.90995
20309.992,2037,2567.519673
20281.21,2158,2571.08663
20143.008,1318,2573.962161
9920.466,1066,2574.939442
20143.646,1386,2577.826198
10004.277,945,2580.248783
9930.393,1059,2581.188255
9926.981,1214,2583.884452
30615.297,2067,2587.356111
20183.492,1370,2588.629018
9888.869,903,2590.9995
30803.51,1891,2594.382325
20296.076,1636,2597.501705
30570.48,2088,2600.946568
30458.096,1333,2602.143634
30520.367,1566,2605.202006
20298.533,1378,2608.18296
20109.39,959,2609.069355
30527.283,1763,2612.303234
20453.096,1848,2615.729474
20275.273,1558,2618.720145
20263.541,1375,2619.980898
9978.898,907,2622.39967
30574.383,2491,2626.297711
30535.166,1551,2629.339087
20317.133,1750,2632.576319
20295.762,1610,2634.064008
9980.583,1075,2636.620537
9966.194,1143,2637.717505
9978.723,890,2640.0536
30645.86,1616,2643.220958
20201.355,1669,2644.808179
9857.524,764,2647.023068
30625.943,1624,2650.067528
30490.08,1540,2651.508461
30703.629,1901,2654.916495
30724.78,2511,2660.513666
30608.984,1936,2662.344497
20191.98,1733,2665.617005
9908.689,886,2668.028946
20136.959,1218,2669.143996
30644.045,1946,2672.522266
10013.64,1382,2675.409372
20251.098,1129,2678.028918
30476.572,1182,2679.138114
9978.6,877,2681.524271
20138.465,865,2682.320135
10007.724,1297,2685.149994
30671.557,1685,2686.732352
20090.045,1023,2689.313201
9899.455,964,2690.223044
30541.107,1645,2693.259581
30520.914,2139,2696.848163
30871.113,2152,2700.413939
20404.766,1500,2703.334717
20149.135,1443,2706.253766
9931.217,1142,2707.285836
20367.654,1786,2710.512774
10005.398,1058,2713.051605
20278.92,1419,2714.374356
9883.406,856,2716.715895
10001.652,1182,2717.77766
9992.049,1228,2720.424992
20157.135,1232,2723.079669
30604.725,1505,2724.497861
9909.554,973,2727.028832
30583.963,1420,2728.370503
30486.45,1672,2731.390523
30908.912,2442,2735.285856
30712.158,1753,2738.476365
20116.203,1143,2741.067092
20259.008,1424,2743.922562
20380.926,1117,2744.952662
30679.559,1991,2748.388554
30619.324,1968,2751.719831
30583.898,1918,2755.097497
30716.396,2183,2758.78205
20344.822,1512,2761.726706
20217.646,1785,2765.051324
30606.227,2158,2768.683823
20139.215,940,2769.535504
20234.695,2521,2773.454168
20154.33,1455,2776.474794
20201.584,2184,2779.996962
20235.258,1048,2782.585912
30808.578,1893,2785.939651
9883.579,875,2786.784198
20417.338,1766,2789.976408
41246.773,2187,2793.499284
30584.088,1947,2796.874187
9879.93,1004,2797.818684
20111.486,1172,2800.434208
20260.264,1547,2803.394114
20297.88,1824,2806.64747
30587.098,1741,2808.268342
20375.715,2102,2813.421999
30637.121,1744,2815.059606
30615.863,2125,2818.679111
20423.168,1853,2821.912893
20390.666,2100,2825.601838
30627.215,1750,2828.711124
20260.28,1561,2831.777501
30638.65,1394,2834.628219
20307.08,1742,2836.276463
9991.364,1161,2838.963209
20170.783,1607,2842.136021
20256.275,1151,2843.172024
20280.951,1613,2846.266693
20123.922,911,2848.692485
30535.678,1602,2850.192501
9867.567,772,2852.488086
20166.07,1644,2855.657839
20294.191,1448,2856.989302
9879.039,919,2859.786445
20273.25,1352,2861.153511
20257.283,1765,2864.379979
9915.367,1057,2867.005893
30532.246,1759,2870.27653
30536.652,1699,2871.80435
30639.928,1523,2874.857738
20095.05,1522,2877.88826
20202.824,1309,2880.696938
30834.383,3000,2885.053995
20428.658,1893,2888.398767
30603.543,2407,2892.19596
9888.23,840,2894.637167
20264.037,1430,2895.951941
30654.938,1527,2898.930995
30589.28,1456,2901.838463
20297.965,1325,2903.038759
20256.96,1721,2906.248473
30579.11,2455,2910.020826
30701.875,1723,2913.249007
20156.592,1182,2915.938411
20291.805,1706,2919.183931
30879.582,1999,2922.733467
30607.934,1818,2926.097371
20309.111,1438,2927.41893
30573.494,2398,2931.180928
30558.865,2439,2936.462379
20264.826,1508,2937.819168
20284.29,1453,2940.626276
20131.756,1200,2943.232352
20288.068,1331,2944.466692
20351.139,1139,2947.061644
20185.424,2086,2950.549233
30821.457,2187,2954.189566
30806.58,1692,2957.337892
9941.473,1166,2958.436142
20365.684,1600,2961.524719
20352.807,1813,2964.78911
20297.885,1314,2967.620396
30442.752,1302,2968.781544
30742.979,2349,2972.520527
30693.387,1871,2975.894812
20353.666,1392,2978.811956
9925.792,1098,2981.491009
30782.225,2271,2985.181807
30688.69,1906,2988.489145
30868.627,1899,2990.362941
30467.818,1307,2993.101447
20255.92,1114,2995.780266
30521.36,2180,2999.382313
41094.062,2421,3003.215981
41228.75,1875,3006.576399
20398.387,1365,3009.410321
10021.276,1148,3010.484252
9884.492,967,3012.978809
20223.312,849,3013.78309
30610.814,1612,3016.854781
30585.617,2107,3020.393756
20126.605,1696,3023.463575
30805.566,2098,3027.013566
20257.92,1829,3030.274474
20205.758,1096,3031.278007
20256.436,1672,3034.434579
10001.902,1209,3035.579478
20183.057,1833,3038.844077
